# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAE15	AT4G14070	AT4G14070.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AAE16	AT3G23790	AT3G23790.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AAE17	AT5G23050	AT5G23050.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AAE8	AT1G75960	AT1G75960.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AAK6	AT5G60340	AT5G60340.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AAP1	AT1G58360	AT1G58360.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AAP3	AT1G77380	AT1G77380.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AAP7	AT5G23810	AT5G23810.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
AAP7	AT5G23810	AT5G23810.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
AAPT1	AT1G13560	AT1G13560.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
AAPT1	AT1G13560	AT1G13560.2	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
AATL1	AT1G47670	AT1G47670.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AATP1	AT5G40010	AT5G40010.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABAP1	AT5G13060	AT5G13060.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABC4	AT1G60600	AT1G60600.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABC4	AT1G60600	AT1G60600.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA3	AT3G47740	AT3G47740.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCB1	AT2G36910	AT2G36910.1	protein_coding	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0
ABCB16	AT3G28360	AT3G28360.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCB17	AT3G28380	AT3G28380.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ABCB18	AT3G28390	AT3G28390.1	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2
ABCB20	AT3G55320	AT3G55320.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB26	AT1G70610	AT1G70610.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB5	AT4G01830	AT4G01830.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCB6	AT2G39480	AT2G39480.1	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
ABCB7	AT5G46540	AT5G46540.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCB9	AT4G18050	AT4G18050.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC1	AT4G39850	AT4G39850.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC1	AT4G39850	AT4G39850.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC1	AT4G39850	AT4G39850.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC10	AT3G59140	AT3G59140.1	protein_coding	0	0	0	12	0	0	0	11	0	0	0	0	0	0	0	0	1
ABCC14	AT3G62700	AT3G62700.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC2	AT2G34660	AT2G34660.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
ABCC2	AT2G34660	AT2G34660.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
ABCC5	AT1G04120	AT1G04120.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCC5	AT1G04120	AT1G04120.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCC6	AT3G13090	AT3G13090.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC7	AT3G13100	AT3G13100.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC8	AT3G21250	AT3G21250.1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	AT3G21250	AT3G21250.2	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCE3	AT4G30300	AT4G30300.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCF3	AT1G64550	AT1G64550.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG10	AT1G53270	AT1G53270.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG12	AT1G51500	AT1G51500.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCG2	AT2G37360	AT2G37360.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG23	AT5G19410	AT5G19410.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCG29	AT3G16340	AT3G16340.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG29	AT3G16340	AT3G16340.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG3	AT2G28070	AT2G28070.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG32	AT2G26910	AT2G26910.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCG35	AT1G15210	AT1G15210.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
ABI2	AT5G57050	AT5G57050.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABI2	AT5G57050	AT5G57050.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABIL3	AT5G24310	AT5G24310.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABIL3	AT5G24310	AT5G24310.2	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACA12	AT3G63380	AT3G63380.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACA7	AT2G22950	AT2G22950.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ACC1	AT1G36160	AT1G36160.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACC1	AT1G36160	AT1G36160.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACC2	AT1G36180	AT1G36180.1	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
ACC2	AT1G36180	AT1G36180.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACD6	AT4G14400	AT4G14400.1	protein_coding	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0
ACD6	AT4G14400	AT4G14400.2	protein_coding	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0
ACD6	AT4G14400	AT4G14400.3	protein_coding	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0
ACHT3	AT2G33270	AT2G33270.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ACI1	AT5G01370	AT5G01370.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACL5	AT5G19530	AT5G19530.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
ACL5	AT5G19530	AT5G19530.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
ACO1	AT2G19590	AT2G19590.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACP1	AT3G05020	AT3G05020.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ACR1	AT5G65890	AT5G65890.1	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
ACR1	AT5G65890	AT5G65890.2	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
ACR10	AT2G36840	AT2G36840.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACR3	AT1G76990	AT1G76990.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACR3	AT1G76990	AT1G76990.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACR3	AT1G76990	AT1G76990.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACR3	AT1G76990	AT1G76990.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACR3	AT1G76990	AT1G76990.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACR4	AT3G59420	AT3G59420.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ACR5	AT2G03730	AT2G03730.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ACR5	AT2G03730	AT2G03730.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ACR7	AT4G22780	AT4G22780.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ACS1	AT3G61510	AT3G61510.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACS10	AT1G62960	AT1G62960.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ACT	AT5G61160	AT5G61160.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ACT12	AT3G46520	AT3G46520.1	protein_coding	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0
ACT7	AT5G09810	AT5G09810.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADA2A	AT3G07740	AT3G07740.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ADA2A	AT3G07740	AT3G07740.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ADA2A	AT3G07740	AT3G07740.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ADA2A	AT3G07740	AT3G07740.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ADF6	AT2G31200	AT2G31200.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADG2	AT5G19220	AT5G19220.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADK2	AT5G03300	AT5G03300.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ADK2	AT5G50370	AT5G50370.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADO2	AT2G18915	AT2G18915.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ADO2	AT2G18915	AT2G18915.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ADPG1	AT3G57510	AT3G57510.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADS3	AT3G15850	AT3G15850.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADT5	AT5G22630	AT5G22630.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AEE10	AT1G21530	AT1G21530.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AEE10	AT1G21530	AT1G21530.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AERO2	AT2G38960	AT2G38960.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AERO2	AT2G38960	AT2G38960.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AERO2	AT2G38960	AT2G38960.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AFP1	AT1G69260	AT1G69260.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AFR	AT2G24540	AT2G24540.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AGAL1	AT5G08380	AT5G08380.1	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
AGAL2	AT5G08370	AT5G08370.1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
AGAL2	AT5G08370	AT5G08370.2	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
AGD3	AT5G13300	AT5G13300.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGD5	AT5G54310	AT5G54310.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGD6	AT3G53710	AT3G53710.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AGD6	AT3G53710	AT3G53710.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AGD7	AT2G37550	AT2G37550.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGD7	AT2G37550	AT2G37550.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGL101	AT5G27050	AT5G27050.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AGL102	AT1G47760	AT1G47760.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGL11	AT4G09960	AT4G09960.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AGL11	AT4G09960	AT4G09960.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AGL11	AT4G09960	AT4G09960.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AGL11	AT4G09960	AT4G09960.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AGL26	AT5G26880	AT5G26880.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AGL26	AT5G26880	AT5G26880.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AGL27	AT1G77080	AT1G77080.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGL27	AT1G77080	AT1G77080.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGL27	AT1G77080	AT1G77080.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGL27	AT1G77080	AT1G77080.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGL50	AT1G59810	AT1G59810.1	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
AGL53	AT5G27070	AT5G27070.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AGL54	AT5G27090	AT5G27090.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGL54	AT5G27090	AT5G27090.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGL57	AT3G04100	AT3G04100.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AGL77	AT5G38740	AT5G38740.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGL78	AT5G65330	AT5G65330.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGL88	AT2G11990	AT2G11990.1	pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AGL94	AT1G69540	AT1G69540.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AGL96	AT5G06500	AT5G06500.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGO3	AT1G31290	AT1G31290.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGO8	AT5G21030	AT5G21030.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AGP19	AT1G68725	AT1G68725.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGP2	AT2G22470	AT2G22470.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGP4	AT5G10430	AT5G10430.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGP40	AT3G20865	AT3G20865.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AGP5	AT1G35230	AT1G35230.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AGP7	AT5G65390	AT5G65390.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AGP9	AT2G14890	AT2G14890.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGP9	AT2G14890	AT2G14890.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AGT2	AT4G39660	AT4G39660.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AHA7	AT3G60330	AT3G60330.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AHA7	AT3G60330	AT3G60330.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AHA8	AT3G42640	AT3G42640.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AHK1	AT2G17820	AT2G17820.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AHK3	AT1G27320	AT1G27320.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AHK4	AT2G01830	AT2G01830.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AHK4	AT2G01830	AT2G01830.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AHK4	AT2G01830	AT2G01830.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AHL13	AT4G17950	AT4G17950.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AHL18	AT3G60870	AT3G60870.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AHL19	AT3G04570	AT3G04570.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AHL2	AT4G22770	AT4G22770.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AHL23	AT4G17800	AT4G17800.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AHL4	AT5G51590	AT5G51590.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AHL5	AT1G63470	AT1G63470.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AHL8	AT5G46640	AT5G46640.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AHP2	AT3G29350	AT3G29350.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AHP2	AT3G29350	AT3G29350.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AIG2	AT3G28930	AT3G28930.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AIR9	AT2G34680	AT2G34680.1	protein_coding	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0
AIRP1	AT4G23450	AT4G23450.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AIRP1	AT4G23450	AT4G23450.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AIRP1	AT4G23450	AT4G23450.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AKHSDH1	AT1G31230	AT1G31230.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AKT2	AT4G22200	AT4G22200.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AKT6	AT2G25600	AT2G25600.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AL2	AT3G11200	AT3G11200.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AL2	AT3G11200	AT3G11200.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ALA2	AT5G44240	AT5G44240.1	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ALA2	AT5G44240	AT5G44240.2	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ALA3	AT1G59820	AT1G59820.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ALA5	AT1G72700	AT1G72700.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ALDH12A1	AT5G62530	AT5G62530.1	protein_coding	0	2	0	4	0	0	0	3	2	0	0	0	0	1	0	1	0
ALDH22A1	AT3G66658	AT3G66658.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ALDH22A1	AT3G66658	AT3G66658.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ALEU	AT5G60360	AT5G60360.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ALEU	AT5G60360	AT5G60360.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ALEU	AT5G60360	AT5G60360.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ALMT12	AT4G17970	AT4G17970.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ALMT3	AT1G18420	AT1G18420.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ALMT5	AT1G68600	AT1G68600.1	protein_coding	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	1
ALMT8	AT3G11680	AT3G11680.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ALS	AT3G48560	AT3G48560.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ALS3	AT2G37330	AT2G37330.1	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
ALY1	AT5G27610	AT5G27610.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ALY3	AT1G66260	AT1G66260.1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ALY3	AT1G66260	AT1G66260.2	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ALY4	AT5G37720	AT5G37720.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ALY4	AT5G37720	AT5G37720.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AMC2	AT4G25110	AT4G25110.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AMC2	AT4G25110	AT4G25110.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AMC3	AT5G64240	AT5G64240.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AMC3	AT5G64240	AT5G64240.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AMC8	AT1G16420	AT1G16420.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
AMI1	AT1G08980	AT1G08980.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AMS	AT2G16910	AT2G16910.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AMSH3	AT4G16144	AT4G16144.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
AMY1	AT4G25000	AT4G25000.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
